nome,produto,instituicao_display_name,prazo_original,meses_restantes,tipo_grupo,vagas_totais,vagas_disponiveis,data_vencimento,data_assembleia,participa_assembleia,taxa_administracao_total,taxa_administracao_antecipada,fundo_reserva,seguro_vida,redutor,lance_embutido,lance_fixo,media_lance,lance_minimo,lance_maximo,lances_contemplados
A0314,Automóvel,Porto,72,14,Em Andamento,6,6,15/08/2025,21/08/2025,"57
VALOR DO CRÉDITO",18.00,0,0.50,0.038,0,0,0,12.79,0.53,37.81,0
A0315,Automóvel,Porto,72,14,Em Andamento,5,5,15/08/2025,21/08/2025,"57
VALOR DO CRÉDITO",18.00,0,0.50,0.038,0,0,0,11.55,0.31,22.22,0
A0316,Automóvel,Porto,72,15,Em Andamento,6,6,15/08/2025,21/08/2025,"56
VALOR DO CRÉDITO",18.00,0,0.50,0.038,0,0,0,11.49,0.31,22.22,1
A0318,Automóvel,Porto,72,16,Em Andamento,1,1,15/08/2025,21/08/2025,"55
VALOR DO CRÉDITO",18.00,0,0.50,0.038,0,0,0,10.54,0.39,27.78,2
AF002,Automóvel,Porto,72,17,Em Andamento,2,2,15/08/2025,21/08/2025,"54
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,15.00,0,11.74,0.41,41.15,5
AF006,Automóvel,Porto,72,18,Em Andamento,1,1,15/08/2025,21/08/2025,"53
VALOR DO CREDITO",18.00,0,0.50,0.038,20.00,15.00,0,17.22,0.44,44.49,10
AF103,Automóvel,Porto,72,36,Em Andamento,11,11,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,46.47,0.77,76.64,23
AF105,Automóvel,Porto,80,44,Em Andamento,1,1,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",16.00,0,0.50,0.038,20.00,25.00,0,46.87,0.79,78.96,3
AF115,Automóvel,Porto,72,36,Em Andamento,10,10,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,47.30,0.77,77.06,13
AF118,Automóvel,Porto,50,14,Em Andamento,9,9,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,17.56,0.66,66.26,0
AF119,Automóvel,Porto,80,44,Em Andamento,1,1,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",16.00,0,0.50,0.038,20.00,25.00,0,46.70,0.79,78.96,4
AF121,Automóvel,Porto,50,14,Em Andamento,11,11,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,17.25,0.67,67.27,7
AF122,Automóvel,Porto,72,36,Em Andamento,8,8,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,46.43,0.77,76.64,18
AF124,Automóvel,Porto,72,36,Em Andamento,21,21,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,47.34,0.79,78.74,16
AF125,Automóvel,Porto,50,14,Em Andamento,6,6,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,22.71,0.66,66.26,3
AF127,Automóvel,Porto,50,14,Em Andamento,14,14,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,19.82,0.76,75.55,5
AF128,Automóvel,Porto,72,36,Em Andamento,43,43,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,46.68,0.76,75.94,9
AF129,Automóvel,Porto,80,44,Em Andamento,1,1,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",16.00,0,0.50,0.038,20.00,25.00,0,53.06,0.80,79.59,5
AF131,Automóvel,Porto,72,36,Em Andamento,1,1,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,44.07,0.77,76.64,13
