Grupo,Produto,Tipo,Prazo original,Meses restantes,TX Adm (%),TX Ant. (%),F.R (%),Seguro (%),Redutor Parcela,Lance Embutido,Lance Fixo,Lance Mínimo,Lance Máximo,Média Lance Últimos 6 Meses,Lances Contemplados Último Mês,Vagas Disponíveis
I0257,Imóvel,Em andamento,200,156,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.84,84.43,62.14,5,40
I0256,Imóvel,Em andamento,200,155,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.82,81.57,61.07,2,30
I0255,Imóvel,Em andamento,200,154,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.84,83.66,58.8,0,41
I0254,Imóvel,Em andamento,200,154,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.83,83.14,58.11,2,28
I0253,Imóvel,Em andamento,200,152,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.83,82.9,60.72,4,35
I0252,Imóvel,Em andamento,200,152,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.82,82.38,63.49,4,25
I0251,Imóvel,Em andamento,200,151,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.83,82.52,58.22,0,26
I0250,Imóvel,Em andamento,200,150,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.82,81.64,60.17,2,56
I0249,Imóvel,Em andamento,200,149,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.81,81.27,67.44,3,34
I0248,Imóvel,Em andamento,200,157,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.85,84.7,61.38,2,44
I0247,Imóvel,Em andamento,200,155,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.84,84.1,60.23,1,44
I0246,Imóvel,Em andamento,200,154,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.84,83.72,64.08,2,84
I0245,Imóvel,Em andamento,200,154,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.83,83.14,66.25,2,62
I0242,Imóvel,Em andamento,200,150,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.83,82.61,61.0,2,6
I0241,Imóvel,Em andamento,200,149,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.81,81.27,59.31,3,20
I0240,Imóvel,Em andamento,200,147,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.81,80.52,60.83,3,6
I0239,Imóvel,Em andamento,200,145,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.75,74.64,63.72,2,11
I0237,Imóvel,Em andamento,200,154,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.83,83.14,52.94,0,100
I0236,Imóvel,Em andamento,200,154,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.83,82.77,60.53,1,120
I0235,Imóvel,Em andamento,200,152,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.82,82.39,62.96,3,89
I0234,Imóvel,Em andamento,200,151,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.84,83.58,59.62,0,11
I0233,Imóvel,Em andamento,200,151,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.86,85.56,62.79,6,8
I0232,Imóvel,Em andamento,200,150,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.82,81.64,60.13,3,75
I0231,Imóvel,Em andamento,200,147,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.81,80.52,59.81,7,32
I0225,Imóvel,Em andamento,200,149,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.41,81.27,60.14,1,16
I0224,Imóvel,Em andamento,200,147,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.2,40.29,64.03,2,46
I0223,Imóvel,Em andamento,200,145,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.4,79.77,60.74,3,45
I0222,Imóvel,Em andamento,200,145,18.0,2.0,0.5,0.038,25.0,30.0,40.0,0.4,79.76,61.18,4,1
I0221,Imóvel,Em andamento,200,144,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.4,79.39,61.91,3,61
I0220,Imóvel,Em andamento,200,143,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.4,79.02,64.26,2,24
I0218,Imóvel,Em andamento,200,142,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.39,78.64,62.63,0,36
